Class,SubClass,Event,National Reference,M reference,Species scientific,Species common,Species uncertain,Date Found,Date Certainty,Month,Year,Location,Local Authority,Region,Country,Gridref,GR100km,Easting,Northing,LatitudeWGS84,LongitudeWGS84,LatitudeOSGB36,LongitudeOSGB36,Sex,Condition Found
Pinniped,Grey seal,Single,SS1992/79,M2144/92,Halichoerus grypus,Grey seal,FALSE,04/01/1992,exact,1,1992,South Ronaldsay,Orkney,Orkney,Scotland,ND 43300 89200,ND,343300,989200,58.78673172,-2.982549667,58.78702164,-2.980969906,M,Unknown
Pinniped,Harbour seal,Single,SS1992/3A,M584/92,Phoca vitulina,Harbour seal (Common seal),FALSE,05/01/1992,exact,1,1992,St. Andrews,Fife,Fife,Scotland,NO 51900 16300,NO,351900,716300,56.33666229,-2.779590845,56.33670807,-2.778091908,F,Unknown
Pinniped,Grey seal,Multiple,SS1992/80.1,M2146/92A,Halichoerus grypus,Grey seal,FALSE,06/01/1992,exact,1,1992,Holm,Orkney,Orkney,Scotland,HY 50900 00800,HY,350900,1000800,58.89182663,-2.853660583,58.89212799,-2.852061272,U,Unknown
Pinniped,Grey seal,Multiple,SS1992/80.2,M2146/92B,Halichoerus grypus,Grey seal,FALSE,06/01/1992,exact,1,1992,Holm,Orkney,Orkney,Scotland,HY 50900 00800,HY,350900,1000800,58.89182663,-2.853660583,58.89212799,-2.852061272,U,Unknown
Pinniped,Grey seal,Multiple,SS1992/80.3,M2146/92C,Halichoerus grypus,Grey seal,FALSE,06/01/1992,exact,1,1992,Holm,Orkney,Orkney,Scotland,HY 50900 00800,HY,350900,1000800,58.89182663,-2.853660583,58.89212799,-2.852061272,U,Unknown
Pinniped,Grey seal,Multiple,SS1992/81.1,M2147/92A,Halichoerus grypus,Grey seal,FALSE,06/01/1992,exact,1,1992,Eday,Orkney,Orkney,Scotland,HY 54500 33400,HY,354500,1033400,59.18496323,-2.79795146,59.18529129,-2.796331882,U,Unknown
Pinniped,Grey seal,Multiple,SS1992/81.2,M2147/92B,Halichoerus grypus,Grey seal,FALSE,06/01/1992,exact,1,1992,Eday,Orkney,Orkney,Scotland,HY 54500 33400,HY,354500,1033400,59.18496323,-2.79795146,59.18529129,-2.796331882,U,Unknown
Pinniped,Grey seal,Multiple,SS1992/81.3,M2147/92C,Halichoerus grypus,Grey seal,FALSE,06/01/1992,exact,1,1992,Eday,Orkney,Orkney,Scotland,HY 54500 33400,HY,354500,1033400,59.18496323,-2.79795146,59.18529129,-2.796331882,U,Unknown
Pinniped,Grey seal,Multiple,SS1992/81.4,M2147/92D,Halichoerus grypus,Grey seal,FALSE,06/01/1992,exact,1,1992,Eday,Orkney,Orkney,Scotland,HY 54500 33400,HY,354500,1033400,59.18496323,-2.79795146,59.18529129,-2.796331882,U,Unknown
Pinniped,Grey seal,Multiple,SS1992/81.5,M2147/92E,Halichoerus grypus,Grey seal,FALSE,06/01/1992,exact,1,1992,Eday,Orkney,Orkney,Scotland,HY 54500 33400,HY,354500,1033400,59.18496323,-2.79795146,59.18529129,-2.796331882,U,Unknown
