,SubClass,FORE_DESC,size
0,Basking shark,ROCK PLATFORM,1
1,Bottlenose dolphin,BOULDERS/LOOSE ROCK,2
2,Bottlenose dolphin,GRAVEL,5
3,Bottlenose dolphin,MADE GROUND (MAN MADE),1
4,Bottlenose dolphin,MUD,3
5,Bottlenose dolphin,MUD & GRAVEL,1
6,Bottlenose dolphin,ROCK PLATFORM,14
7,Bottlenose dolphin,ROCK PLATFORM WITH BANKS OF GRAVEL,3
8,Bottlenose dolphin,SAND,40
9,Bottlenose dolphin,SAND & GRAVEL,3
10,Bottlenose dolphin,SAND & MUD,1
11,Cetacean (indeterminate species),BOULDERS/LOOSE ROCK,12
12,Cetacean (indeterminate species),GRAVEL,14
13,Cetacean (indeterminate species),MADE GROUND (MAN MADE),3
14,Cetacean (indeterminate species),MUD,2
15,Cetacean (indeterminate species),MUD & GRAVEL,1
16,Cetacean (indeterminate species),NOT PRESENT,1
17,Cetacean (indeterminate species),ROCK PLATFORM,58
18,Cetacean (indeterminate species),ROCK PLATFORM WITH BANKS OF GRAVEL,7
19,Cetacean (indeterminate species),ROCK PLATFORM WITH BOULDERS/LOSE ROCK,22
20,Cetacean (indeterminate species),SAND,132
21,Cetacean (indeterminate species),SAND & GRAVEL,14
22,Cetacean (indeterminate species),SAND & MUD,1
23,Grey seal,BOULDERS/LOOSE ROCK,121
24,Grey seal,GRAVEL,110
25,Grey seal,MADE GROUND (MAN MADE),13
26,Grey seal,MUD,12
27,Grey seal,MUD & GRAVEL,6
28,Grey seal,NOT PRESENT,2
29,Grey seal,ROCK PLATFORM,526
30,Grey seal,ROCK PLATFORM WITH BANKS OF GRAVEL,42
31,Grey seal,ROCK PLATFORM WITH BOULDERS/LOSE ROCK,92
32,Grey seal,SAND,1022
33,Grey seal,SAND & GRAVEL,85
34,Grey seal,SAND & MUD,10
35,Grey seal,UNSPECIFIED,4
36,Harbour porpoise,BOULDERS/LOOSE ROCK,63
37,Harbour porpoise,GRAVEL,138
38,Harbour porpoise,MADE GROUND (MAN MADE),15
39,Harbour porpoise,MUD,38
40,Harbour porpoise,MUD & GRAVEL,22
41,Harbour porpoise,NOT PRESENT,3
42,Harbour porpoise,ROCK PLATFORM,265
43,Harbour porpoise,ROCK PLATFORM WITH BANKS OF GRAVEL,23
44,Harbour porpoise,ROCK PLATFORM WITH BOULDERS/LOSE ROCK,63
45,Harbour porpoise,SAND,734
46,Harbour porpoise,SAND & GRAVEL,110
47,Harbour porpoise,SAND & MUD,30
48,Harbour porpoise,UNSPECIFIED,1
49,Harbour seal,BOULDERS/LOOSE ROCK,24
50,Harbour seal,GRAVEL,126
51,Harbour seal,MADE GROUND (MAN MADE),15
52,Harbour seal,MUD,17
53,Harbour seal,MUD & GRAVEL,36
54,Harbour seal,NOT PRESENT,1
55,Harbour seal,ROCK PLATFORM,152
56,Harbour seal,ROCK PLATFORM WITH BANKS OF GRAVEL,31
57,Harbour seal,ROCK PLATFORM WITH BOULDERS/LOSE ROCK,34
58,Harbour seal,SAND,324
59,Harbour seal,SAND & GRAVEL,54
60,Harbour seal,SAND & MUD,6
61,Harbour seal,UNSPECIFIED,13
62,Kogia sp.,ROCK PLATFORM,2
63,Kogia sp.,ROCK PLATFORM WITH BANKS OF GRAVEL,1
64,Kogia sp.,SAND,2
65,Kogia sp.,SAND & GRAVEL,1
66,Marine turtle,GRAVEL,1
